FIELD ID RA_1 Dec_1 FWHM_n A B THETA FlRadDet KrRadDet uJAVA_auto F378_auto F395_auto F410_auto F430_auto g_auto F515_auto r_auto F660_auto i_auto F861_auto z_auto z class_2 subClass sourceType type
STRIPE82-0071 SPLUS.STRIPE82-0071.17279.griz 49.4044 -0.1093 1.95 2.52 2.32 40.7 2.147 1.55 20.55 20.69 20.77 20.29 20.18 19.64 19.27 19.01 18.86 18.59 18.47 18.49 0.09669449 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0045 SPLUS.STRIPE82-0045.26244.griz 31.3766 -0.4801 1.8 2.81 2.12 60.8 1.723 1.38 20.81 20.46 20.73 20.05 19.76 19.11 18.74 18.41 18.27 18.03 17.83 17.77 0.07841321 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0023 SPLUS.STRIPE82-0023.08272.griz 16.0169 -0.9942 1.75 4.11 3.95 -64.4 2.4730000000000003 1.33 18.49 18.4 18.14 17.82 17.54 17.22 16.94 16.57 16.49 16.25 16.12 16.06 0.06523283 GALAXY STARFORMING GALAXY 3
STRIPE82-0001 SPLUS.STRIPE82-0001.22448.griz 0.3505 -0.4437 1.8 3.55 2.73 62.6 2.552 1.59 20.46 20.0 19.82 19.84 19.71 18.96 18.55 18.16 18.06 17.72 17.66 17.5 0.1940569 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0159 SPLUS.STRIPE82-0159.16872.griz 350.7307 -0.4659 1.95 2.63 2.06 -45.6 2.254 1.84 20.26 19.77 19.35 19.32 19.39 18.95 18.7 18.66 18.53 18.48 18.32 18.35 0.1437369 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0037 SPLUS.STRIPE82-0037.06673.griz 25.0141 -1.05 2.97 3.5 3.42 -72.3 2.9130000000000003 1.49 19.69 19.62 19.55 19.29 19.29 18.76 18.44 18.27 18.12 17.93 17.85 17.83 0.1176098 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0112 SPLUS.STRIPE82-0112.01153.griz 316.9481 0.0187 1.66 3.07 2.51 23.7 2.215 1.46 20.43 20.3 19.94 19.69 19.39 18.96 18.61 18.1 17.98 17.69 17.52 17.42 0.09590494 GALAXY STARFORMING GALAXY 3
STRIPE82-0155 SPLUS.STRIPE82-0155.15314.griz 349.0839 -0.7325 5.14 6.53 2.81 -69.9 3.6069999999999998 1.44 19.53 19.46 18.96 18.94 18.81 18.46 18.2 18.03 17.93 17.8 17.69 17.67 0.02877137 GALAXY STARFORMING GALAXY 3
STRIPE82-0033 SPLUS.STRIPE82-0033.32596.griz 22.6667 -0.0696 6.26 6.11 1.94 -79.1 2.923 1.34 20.15 19.66 19.54 19.23 18.91 18.55 18.3 17.71 17.66 17.27 17.02 16.97 0.05641844 GALAXY STARFORMING GALAXY 3
STRIPE82-0129 SPLUS.STRIPE82-0129.17189.griz 330.3484 -0.7927 3.01 6.39 4.29 55.1 4.0889999999999995 1.42 18.38 18.54 18.23 17.94 17.78 17.17 17.13 16.5 16.42 16.37 15.98 16.18 0.04995512 GALAXY STARFORMING GALAXY 3
STRIPE82-0082 SPLUS.STRIPE82-0082.04993.griz 56.342 0.281 2.35 5.09 3.42 -20.2 2.826 1.37 19.95 19.61 18.97 19.34 18.9 18.43 18.03 17.6 17.46 17.12 16.95 16.86 0.1302227 GALAXY STARFORMING GALAXY 3
STRIPE82-0147 SPLUS.STRIPE82-0147.27068.griz 343.1534 -0.4177 2.3 4.14 3.29 -66.0 2.47 1.35 19.27 19.01 19.11 18.81 18.23 17.8 17.56 17.09 16.94 16.69 16.52 16.46 0.07980298 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0060 SPLUS.STRIPE82-0060.15997.griz 40.4222 1.1268 3.72 8.04 5.91 -38.3 5.718999999999999 1.5 18.13 17.93 17.73 17.44 17.22 16.84 16.5 16.01 15.94 15.72 15.57 15.5 0.04598815 GALAXY STARFORMING GALAXY 3
STRIPE82-0133 SPLUS.STRIPE82-0133.15932.griz 332.5794 -0.8246 2.35 3.81 2.68 5.2 2.363 1.33 20.37 20.59 20.29 20.08 19.6 19.15 18.78 18.41 18.25 18.0 17.91 17.79 0.1315286 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0076 SPLUS.STRIPE82-0076.28756.griz 52.9948 0.8540000000000001 3.05 3.78 2.55 -33.7 2.499 1.42 20.62 20.64 20.1 20.11 19.82 19.25 18.97 18.37 18.25 17.92 17.68 17.67 0.1635247 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0025 SPLUS.STRIPE82-0025.18327.griz 17.0413 -0.6405 5.96 5.85 4.2 53.4 4.513999999999999 1.54 19.55 19.22 19.02 18.8 18.77 18.26 18.01 17.72 17.61 17.41 17.27 17.22 0.06750056 GALAXY STARFORMING GALAXY 3
STRIPE82-0159 SPLUS.STRIPE82-0159.18574.griz 350.7263 -0.6228 2.3 3.19 2.99 6.1 2.536 1.48 19.12 19.49 18.69 19.19 18.89 18.24 18.13 17.68 17.71 17.44 17.31 17.33 0.05906954 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0146 SPLUS.STRIPE82-0146.02966.griz 341.2897 0.1556 3.49 5.64 2.98 -89.8 4.248 1.8 19.46 19.26 18.83 18.72 18.45 18.28 18.15 17.79 17.74 17.51 17.44 17.31 0.05759335 GALAXY STARFORMING GALAXY 3
STRIPE82-0003 SPLUS.STRIPE82-0003.13767.griz 1.4663 -0.7352 3.36 5.74 3.42 -50.9 3.5239999999999996 1.4 19.6 19.28 19.34 19.27 18.83 18.36 18.06 17.69 17.44 17.27 17.02 17.0 0.1342634 GALAXY STARFORMING GALAXY 3
STRIPE82-0028 SPLUS.STRIPE82-0028.00283.griz 18.0913 0.0483 3.14 3.68 2.27 -85.8 2.603 1.6 19.84 19.98 19.66 19.63 19.22 18.99 18.58 18.37 18.21 17.98 17.85 17.86 0.135845 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0044 SPLUS.STRIPE82-0044.16853.griz 29.3356 0.6940000000000001 1.52 3.55 3.26 41.8 2.129 1.42 19.89 20.17 19.55 19.27 19.25 18.53 18.13 17.67 17.42 17.26 17.0 16.99 0.1352865 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0072 SPLUS.STRIPE82-0072.25610.griz 49.568000000000005 0.9554 3.47 3.61 2.36 -15.4 2.544 1.47 20.89 20.2 19.8 19.65 19.72 19.4 19.33 18.8 18.8 18.55 18.44 18.46 0.03606898 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0157 SPLUS.STRIPE82-0157.22649.griz 349.3888 -0.7444 3.27 6.35 6.15 27.9 4.181 1.35 18.24 17.91 17.75 17.56 17.37 17.05 16.84 16.5 16.34 16.25 16.05 16.08 0.02981775 GALAXY STARFORMING NONLEGACY 3
STRIPE82-0080 SPLUS.STRIPE82-0080.20063.griz 54.7086 1.1299 4.4 4.1 2.46 63.7 3.17 1.65 19.92 20.21 19.76 19.71 19.36 18.99 18.66 18.36 18.17 18.06 17.88 17.85 0.09921245 GALAXY STARFORMING NONLEGACY 3
